test,whereX,whereY,datetime,type,typeof,payload
10,2,5,2026-01-13T01:59:25,event,location_entered,"{""room_ID"":0}"
10,13,5,2026-01-13T01:59:27,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
10,2,5,2026-01-13T01:59:27,event,location_entered,"{""room_ID"":1}"
10,10,5,2026-01-13T01:59:28,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,10,5,2026-01-13T01:59:29,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,10,5,2026-01-13T01:59:29,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,10,5,2026-01-13T01:59:30,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,10,5,2026-01-13T01:59:30,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,10,5,2026-01-13T01:59:31,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,10,5,2026-01-13T01:59:31,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
10,18,5,2026-01-13T01:59:33,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
10,2,6,2026-01-13T01:59:33,event,location_entered,"{""room_ID"":2}"
10,1,10,2026-01-13T01:59:35,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
