test,whereX,whereY,datetime,type,typeof,payload
21,2,5,2026-01-13T02:19:42,event,location_entered,"{""room_ID"":0}"
21,14,4,2026-01-13T02:19:48,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
21,2,5,2026-01-13T02:19:48,event,location_entered,"{""room_ID"":1}"
21,19,4,2026-01-13T02:19:52,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
21,2,6,2026-01-13T02:19:52,event,location_entered,"{""room_ID"":2}"
21,1,9,2026-01-13T02:19:57,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
