test,whereX,whereY,datetime,type,typeof,payload
12,2,5,2026-01-13T02:08:24,event,location_entered,"{""room_ID"":0}"
12,13,5,2026-01-13T02:08:29,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
12,2,5,2026-01-13T02:08:29,event,location_entered,"{""room_ID"":1}"
12,9,5,2026-01-13T02:08:36,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
12,18,5,2026-01-13T02:08:39,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
12,2,6,2026-01-13T02:08:39,event,location_entered,"{""room_ID"":2}"
