test,whereX,whereY,datetime,type,typeof,payload
13,2,5,2026-01-13T02:10:21,event,location_entered,"{""room_ID"":0}"
13,13,4,2026-01-13T02:10:25,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
13,2,5,2026-01-13T02:10:25,event,location_entered,"{""room_ID"":1}"
13,10,5,2026-01-13T02:10:26,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
13,19,5,2026-01-13T02:10:28,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
13,2,6,2026-01-13T02:10:28,event,location_entered,"{""room_ID"":2}"
13,2,10,2026-01-13T02:10:30,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
13,4,9,2026-01-13T02:10:42,action,object_touched,"{""is_key_item"":true,""object_ID"":""Almofada""}"
13,3,3,2026-01-13T02:10:44,action,object_touched,"{""is_key_item"":true,""object_ID"":""Cadeira""}"
13,0,0,2026-01-13T02:10:46,action,object_touched,"{""is_key_item"":true,""object_ID"":""Casaco""}"
13,1,7,2026-01-13T02:10:47,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
13,2,5,2026-01-13T02:10:47,event,location_entered,"{""room_ID"":1}"
13,10,4,2026-01-13T02:10:50,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
13,0,4,2026-01-13T02:11:12,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
13,2,5,2026-01-13T02:11:12,event,location_entered,"{""room_ID"":0}"
