test,whereX,whereY,datetime,type,typeof,payload
5,2,5,2026-01-13T01:51:29,event,location_entered,"{""room_ID"":0}"
5,13,5,2026-01-13T01:51:36,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
5,2,5,2026-01-13T01:51:36,event,location_entered,"{""room_ID"":1}"
5,9,4,2026-01-13T01:51:37,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:38,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:39,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:44,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:44,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:45,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:45,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:46,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:46,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
5,9,4,2026-01-13T01:51:47,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
