test,whereX,whereY,datetime,type,typeof,payload
9,2,5,2026-01-14T16:37:13,event,location_entered,"{""room_ID"":0}"
9,14,4,2026-01-14T16:37:31,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
9,2,5,2026-01-14T16:37:31,event,location_entered,"{""room_ID"":1}"
9,10,4,2026-01-14T16:37:44,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
9,18,4,2026-01-14T16:37:46,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
9,2,6,2026-01-14T16:37:46,event,location_entered,"{""room_ID"":2}"
9,0,6,2026-01-14T16:37:47,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
9,2,5,2026-01-14T16:37:47,event,location_entered,"{""room_ID"":1}"
