test,whereX,whereY,datetime,type,typeof,payload
3,2,5,2026-01-14T22:23:26,event,location_entered,"{""room_ID"":0}"
3,13,5,2026-01-14T22:23:27,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
3,2,5,2026-01-14T22:23:27,event,location_entered,"{""room_ID"":1}"
3,19,5,2026-01-14T22:23:30,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
3,2,6,2026-01-14T22:23:30,event,location_entered,"{""room_ID"":2}"
3,0,5,2026-01-14T22:23:31,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
3,2,5,2026-01-14T22:23:31,event,location_entered,"{""room_ID"":1}"
3,18,5,2026-01-14T22:23:34,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
3,2,6,2026-01-14T22:23:34,event,location_entered,"{""room_ID"":2}"
3,0,5,2026-01-14T22:23:39,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
3,2,5,2026-01-14T22:23:39,event,location_entered,"{""room_ID"":1}"
3,0,5,2026-01-14T22:23:56,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
3,2,5,2026-01-14T22:23:56,event,location_entered,"{""room_ID"":0}"
3,13,5,2026-01-14T22:23:58,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
3,2,5,2026-01-14T22:23:58,event,location_entered,"{""room_ID"":1}"
