test,whereX,whereY,datetime,type,typeof,payload
2,2,5,2026-01-14T22:21:47,event,location_entered,"{""room_ID"":0}"
2,14,5,2026-01-14T22:21:50,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
2,2,5,2026-01-14T22:21:50,event,location_entered,"{""room_ID"":1}"
2,0,5,2026-01-14T22:21:56,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
2,2,5,2026-01-14T22:21:56,event,location_entered,"{""room_ID"":0}"
2,13,4,2026-01-14T22:21:59,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
2,2,5,2026-01-14T22:21:59,event,location_entered,"{""room_ID"":1}"
