test,whereX,whereY,datetime,type,typeof,payload
4,2,5,2026-01-14T16:23:46,event,location_entered,"{""room_ID"":0}"
4,13,4,2026-01-14T16:23:49,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
4,2,5,2026-01-14T16:23:49,event,location_entered,"{""room_ID"":1}"
4,18,4,2026-01-14T16:24:07,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
4,2,6,2026-01-14T16:24:07,event,location_entered,"{""room_ID"":2}"
4,0,5,2026-01-14T16:24:10,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
4,2,5,2026-01-14T16:24:10,event,location_entered,"{""room_ID"":1}"
4,0,4,2026-01-14T16:24:11,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
4,2,5,2026-01-14T16:24:11,event,location_entered,"{""room_ID"":0}"
4,13,5,2026-01-14T16:24:12,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
4,2,5,2026-01-14T16:24:12,event,location_entered,"{""room_ID"":1}"
4,18,5,2026-01-14T16:24:14,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
4,2,6,2026-01-14T16:24:14,event,location_entered,"{""room_ID"":2}"
