test,whereX,whereY,datetime,type,typeof,payload
1,2,5,2026-01-14T22:19:45,event,location_entered,"{""room_ID"":0}"
1,14,5,2026-01-14T22:19:51,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
1,2,5,2026-01-14T22:19:51,event,location_entered,"{""room_ID"":1}"
1,18,5,2026-01-14T22:19:55,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
1,2,6,2026-01-14T22:19:55,event,location_entered,"{""room_ID"":2}"
1,0,5,2026-01-14T22:19:56,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
1,2,5,2026-01-14T22:19:56,event,location_entered,"{""room_ID"":1}"
1,0,4,2026-01-14T22:19:58,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
1,2,5,2026-01-14T22:19:58,event,location_entered,"{""room_ID"":0}"
1,14,5,2026-01-14T22:20:01,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
1,2,5,2026-01-14T22:20:01,event,location_entered,"{""room_ID"":1}"
1,18,5,2026-01-14T22:20:04,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
1,2,6,2026-01-14T22:20:04,event,location_entered,"{""room_ID"":2}"
1,0,5,2026-01-14T22:20:05,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
1,2,5,2026-01-14T22:20:05,event,location_entered,"{""room_ID"":1}"
1,0,5,2026-01-14T22:20:06,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
1,2,5,2026-01-14T22:20:06,event,location_entered,"{""room_ID"":0}"
1,13,5,2026-01-14T22:20:08,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
1,2,5,2026-01-14T22:20:08,event,location_entered,"{""room_ID"":1}"
1,9,5,2026-01-14T22:20:10,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
