test,whereX,whereY,datetime,type,typeof,payload
20,2,5,2026-01-13T02:16:49,event,location_entered,"{""room_ID"":0}"
20,13,4,2026-01-13T02:16:56,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
20,2,5,2026-01-13T02:16:56,event,location_entered,"{""room_ID"":1}"
20,9,4,2026-01-13T02:17:00,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
20,19,4,2026-01-13T02:17:08,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
20,2,6,2026-01-13T02:17:08,event,location_entered,"{""room_ID"":2}"
20,0,6,2026-01-13T02:17:17,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
20,2,5,2026-01-13T02:17:17,event,location_entered,"{""room_ID"":1}"
