test,whereX,whereY,datetime,type,typeof,payload
22,2,5,2026-01-13T11:11:03,event,location_entered,"{""room_ID"":0}"
22,14,4,2026-01-13T11:11:18,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
22,2,5,2026-01-13T11:11:18,event,location_entered,"{""room_ID"":1}"
22,9,4,2026-01-13T11:11:27,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
22,19,4,2026-01-13T11:11:43,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
22,2,6,2026-01-13T11:11:43,event,location_entered,"{""room_ID"":2}"
22,4,10,2026-01-13T11:11:54,action,object_touched,"{""is_key_item"":true,""object_ID"":""Almofada""}"
22,10,5,2026-01-13T11:12:06,action,object_touched,"{""is_key_item"":true,""object_ID"":""Livro""}"
22,1,9,2026-01-13T11:12:10,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
22,0,6,2026-01-13T11:12:44,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
22,2,5,2026-01-13T11:12:44,event,location_entered,"{""room_ID"":1}"
