test,whereX,whereY,datetime,type,typeof,payload
1,2,6,2025-12-17T16:56:16,event,location_entered,"{""room_ID"":2}"
1,9,5,2025-12-17T16:56:20,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
1,0,6,2025-12-17T16:56:34,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
1,2,5,2025-12-17T16:56:34,event,location_entered,"{""room_ID"":1}"
1,0,4,2025-12-17T16:56:35,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
1,2,5,2025-12-17T16:56:35,event,location_entered,"{""room_ID"":0}"
1,13,5,2025-12-17T16:56:38,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
1,2,5,2025-12-17T16:56:38,event,location_entered,"{""room_ID"":1}"
1,11,5,2025-12-17T16:56:40,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
1,19,5,2025-12-17T16:56:43,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
1,2,6,2025-12-17T16:56:43,event,location_entered,"{""room_ID"":2}"
